市,都道府県,市全体の平均倍率,区分,団地・住戸,応募倍率,属性メモ,データ更新日
京都市,京都府,16.7,低い,椥辻西（B71・一般3DK/3LDK）,0.0倍,世帯向け。1戸に応募0名,2026-07-08
京都市,京都府,16.7,低い,小栗栖（B50・一般3DK/3LDK）,1.0倍,世帯向け。募集2戸/応募2名（0倍を除く最低水準）,2026-07-08
川崎市,神奈川県,10.5,高い,大島（1DK・単身者向け）,112.0倍,川崎区（大島4丁目）／単身可（1DK）。1戸/112人で今回最高,2026-07-08
川崎市,神奈川県,10.5,高い,河原町（3DK・単身者向け）,49.0倍,幸区（河原町・川崎駅徒歩15分の高層団地・1972年頃竣工）／単身可。2戸/98人,2026-07-08
川崎市,神奈川県,10.5,高い,小向（1DK・単身者向け）,48.0倍,幸区（小向・川崎駅バス10分）／単身可（1DK）。1戸/48人,2026-07-08
川崎市,神奈川県,10.5,高い,古市場（1DK・単身者向け）,46.0倍,幸区（古市場・川崎駅バス15分）／単身可（1DK）。1戸/46人,2026-07-08
川崎市,神奈川県,10.5,高い,中野島（1DK・単身者向け）,43.0倍,多摩区（中野島駅周辺）／単身可（1DK）。2戸/86人,2026-07-08
川崎市,神奈川県,10.5,低い,明石穂（EVなし・単身者向け）,0.0倍,1戸に応募0人。同団地のEVあり住戸は2.0倍（EV有無が応募ゼロの直接要因）,2026-07-08
川崎市,神奈川県,10.5,低い,小倉南・小倉第1（一般世帯向け）,0.0倍,幸区（小倉地区）／世帯向け。各1戸に応募0人,2026-07-08
川崎市,神奈川県,10.5,低い,中野島多摩川（若年・子育て世帯向け）,0.6倍,多摩区／世帯向け。募集8戸/応募5人＝定員割れ。単身1DK（43.0倍）と対照的,2026-07-08
川崎市,神奈川県,10.5,低い,南加瀬第3（一般世帯向け）,1.4倍,幸区（南加瀬）／世帯向け。募集5戸/応募7人。戸数が多く低倍率の典型,2026-07-08
仙台市,宮城県,8,高い,あすと長町第二（太白区）,約292倍,高層/2K/単身可/4階/EV有/平成25年度築（前回1戸に292人）,2026-07-08
仙台市,宮城県,8,高い,宮城野（宮城野区）,約150倍,高層/2K/単身可/2階/EV有/平成26年度築（前回1戸に150人）,2026-07-08
仙台市,宮城県,8,高い,若林西（若林区）,約58倍,高層/2K/単身可/5階/EV有/平成24年度築（前回1戸に58人）,2026-07-08
仙台市,宮城県,8,高い,荒井南第二（若林区）,約51倍,中層/4K/世帯向け/4階/EV有/平成26年度築（前回1戸に51人）,2026-07-08
仙台市,宮城県,8,高い,泉中央南（泉区）,約45倍,高層/3K/世帯向け/8階/EV有/平成25年度築（前回1戸に45人）,2026-07-08
仙台市,宮城県,8,低い,高砂（東）（宮城野区）,0倍（応募なし）,中層/4DK/多家族向け/1階/築昭和60年代（前回5戸に応募0）,2026-07-08
仙台市,宮城県,8,低い,茂庭第一（太白区）,約0.25倍,中層/3DK/単身可/築昭和50〜60年代・郊外（前回24戸に6人）,2026-07-08
仙台市,宮城県,8,低い,高砂（西）（宮城野区）,0倍（応募なし）,高層/3DK/世帯向け/7階/EV有/平成7年度築（前回1戸に応募0）,2026-07-08
仙台市,宮城県,8,低い,西中田（太白区）,約0.25倍,中層/3DK/世帯向け/築昭和51〜52年（前回4戸に1人）,2026-07-08
東京都,東京都,5.6,高い,北青山三丁目,159.0倍,港区・2人以上向け2DK（40〜43㎡）・平成28年築・EV有。募集1戸に159名が殺到した表参道至近の築浅住宅,2026-07-08
東京都,東京都,5.6,高い,横川五丁目第2,155.0倍,墨田区・1〜2人向け1DK（40㎡）・平成6年築・EV有。募集1戸に155名。スカイツリー徒歩圏の単身可住戸,2026-07-08
東京都,東京都,5.6,高い,本郷四丁目,147.0倍,文京区・1〜2人向け1LDK（40㎡）・平成7年築・EV有。募集1戸に147名。東大近くの都心文教エリア,2026-07-08
東京都,東京都,5.6,低い,東京街道,0.0倍,東大和市・3人以上向け2DK（47㎡）・平成30〜令和元年築・EV有。築浅エレベーター付きでも申込者ゼロの募集割れ,2026-07-08
東京都,東京都,5.6,低い,東久留米幸町一丁目,0.1倍,東久留米市・2人以上向け2DK（47〜53㎡）・平成11〜16年築・EV有。募集7戸に申込1名,2026-07-08
東京都,東京都,5.6,低い,中清戸四丁目,0.0倍,清瀬市・2人以上向け2DK（53〜58㎡）・平成9〜13年築・EV有。募集7戸に申込者ゼロ,2026-07-08
大阪市,大阪府,3.5,高い,勝山第1住宅（天王寺区）,189倍,単身者向け公営住宅・募集1戸に189件（令和7年度第1次）,2026-07-08
大阪市,大阪府,3.5,高い,上町住宅（中央区）,177倍,単身者向け公営住宅・募集1戸に177件（令和7年度第1次）,2026-07-08
大阪市,大阪府,3.5,高い,伝法住宅（此花区）,127倍,単身者向け公営住宅・募集1戸に127件（令和7年度第1次）,2026-07-08
大阪市,大阪府,3.5,低い,長吉長原東住宅（平野区）,0倍,若者夫婦・子育て世帯向け・募集8戸に応募0件,2026-07-08
大阪市,大阪府,3.5,低い,平林南第2住宅（住之江区）,0倍,一般世帯向け〈市内居住者限定〉・募集7戸に応募0件,2026-07-08
大阪市,大阪府,3.5,低い,南江口第1住宅（東淀川区）,0倍,一般世帯向け〈市内居住者限定〉・募集4戸に応募0件,2026-07-08
名古屋市,愛知県,6.3,高い,徳川山荘,100倍以上,千種区・一般・単身共通（令和7年度第4回）,2026-07-08
名古屋市,愛知県,6.3,高い,千早荘,100倍以上,中区・一般・単身共通（令和7年度第4回）,2026-07-08
名古屋市,愛知県,6.3,高い,豊田荘,100倍以上,南区・一般・単身共通（令和7年度第4回）,2026-07-08
名古屋市,愛知県,6.3,低い,万場荘,0倍（応募なし）,中川区・一般・単身共通（令和7年度第4回）,2026-07-08
名古屋市,愛知県,6.3,低い,宝神荘,0倍（応募なし）,港区・一般・単身共通（令和7年度第4回）,2026-07-08
名古屋市,愛知県,6.3,低い,御前場荘,0倍（応募なし）,天白区・一般・単身共通（令和7年度第4回）,2026-07-08
福岡市,福岡県,14.4,高い,千代パピヨン（単身者向け）,217倍,博多区千代・平成14年築2DK・エレベーター付き。高齢単身者・身体障がい単身者向けで市内最高倍率,2026-07-08
福岡市,福岡県,14.4,高い,大博リバーサイド（単身者向け）,129倍,博多区大博町・平成25年築2DK。地下鉄祇園駅至近の築浅都心物件,2026-07-08
福岡市,福岡県,14.4,高い,千代パピヨン（2人以上・一般世帯向け）,127倍,博多区千代・3LDK。ファミリー向けでも100倍超（千代一丁目105倍、大博リバーサイド〔3人以上〕86倍が続く）,2026-07-08
福岡市,福岡県,14.4,低い,丸尾 2階（一般世帯向け）,0倍,東区唐原5丁目・昭和63年築3DK・エレベーターなし。前回応募ゼロ,2026-07-08
福岡市,福岡県,14.4,低い,大岳 3階（一般世帯向け）,0倍,東区西戸崎エリア・昭和51年築3DK・エレベーターなし。前回応募ゼロ,2026-07-08
福岡市,福岡県,14.4,低い,野方西 5階（一般世帯向け）,0倍,西区野方6丁目・昭和54年築3DK・エレベーターなし5階。前回応募ゼロ,2026-07-08
